TREE_NAMES	Clade	MAG	Total_abundance
TARA_CHLORO_00336	Ochrophytes	mag	12.85925041
TARA_CHLORO_00337	Ochrophytes	mag	193.3079232
TARA_CHLORO_00338	Haptophytes	mag	39.92048735
TARA_CHLORO_00339	Chlorarachniophytes	mag	21.27349601
TARA_CHLORO_00340	Ochrophytes	mag	79.85330528
TARA_CHLORO_00341	Ochrophytes	mag	604.934446
TARA_CHLORO_00342	Ochrophytes	mag	85.79925942
TARA_CHLORO_00343	Chlorophytes	mag	161.2207745
TARA_CHLORO_00344	Ochrophytes	mag	188.1611768
TARA_CHLORO_00345	Ochrophytes	mag	45.76964947
TARA_CHLORO_00346	Ochrophytes	mag	564.268521
TARA_CHLORO_00347	Ochrophytes	mag	150.5231701
TARA_CHLORO_00348	Ochrophytes	mag	83.14430568
TARA_CHLORO_00349	Ochrophytes	mag	156.50234
TARA_CHLORO_00350	Ochrophytes	mag	48.72091618
TARA_CHLORO_00351	Ochrophytes	mag	12.58125149
TARA_CHLORO_00352	Ochrophytes	mag	293.1765918
TARA_CHLORO_00353	Ochrophytes	mag	17.48005555
TARA_CHLORO_00354	Ochrophytes	mag	37.50556457
TARA_CHLORO_00355	Ochrophytes	mag	319.5405118
TARA_CHLORO_00356	Ochrophytes	mag	36.74282036
TARA_CHLORO_00357	Chlorophytes	mag	2420.910868
TARA_CHLORO_00358	Chlorophytes	mag	2692.53216
TARA_CHLORO_00359	Haptophytes	mag	44.36598715
TARA_CHLORO_00360	Ochrophytes	mag	445.7131069
TARA_CHLORO_00361	Ochrophytes	mag	76.166708
TARA_CHLORO_00363	Haptophytes	mag	28.463981
TARA_CHLORO_00364	Haptophytes	mag	44.91847479
TARA_CHLORO_00365	Haptophytes	mag	39.52906874
TARA_CHLORO_00366	Ochrophytes	mag	122.2031721
TARA_CHLORO_00367	Haptophytes	mag	188.5335128
TARA_CHLORO_00368	Ochrophytes	mag	147.0021281
TARA_CHLORO_00369	Ochrophytes	mag	84.61912354
TARA_CHLORO_00370	Haptophytes	mag	23.13593321
TARA_CHLORO_00371	Ochrophytes	mag	180.7744615
TARA_CHLORO_00372	Haptophytes	mag	86.67150259
TARA_CHLORO_00373	Haptophytes	mag	21.34304077
TARA_CHLORO_00374	Haptophytes	mag	2902.232815
TARA_CHLORO_00375	Chlorophytes	mag	5681.304845
TARA_CHLORO_00376	Ochrophytes	mag	789.092191
TARA_CHLORO_00378	Haptophytes	mag	469.8531669
TARA_CHLORO_00379	Haptophytes	mag	345.931226
TARA_CHLORO_00380	Ochrophytes	mag	65.69366479
TARA_CHLORO_00381	Ochrophytes	mag	210.0393532
TARA_CHLORO_00382	Chlorophytes	mag	13.67154699
TARA_CHLORO_00383	Haptophytes	mag	139.304608
TARA_CHLORO_00384	Haptophytes	mag	8238.450026
TARA_CHLORO_00385	Haptophytes	mag	1634.49739
TARA_CHLORO_00386	Chlorophytes	mag	1442.947902
TARA_CHLORO_00387	Ochrophytes	mag	221.9642469
TARA_CHLORO_00388	Cryptophytes	mag	61.54020217
TARA_CHLORO_00389	Chlorophytes	mag	7748.752008
TARA_CHLORO_00390	Chlorophytes	mag	2185.694115
TARA_CHLORO_00391	Ochrophytes	mag	239.7484991
TARA_CHLORO_00392	Ochrophytes	mag	22.63944867
TARA_CHLORO_00393	Ochrophytes	mag	15.53127318
TARA_CHLORO_00394	Ochrophytes	mag	33.32271365
TARA_CHLORO_00395	Ochrophytes	mag	102.1698831
TARA_CHLORO_00396	Ochrophytes	mag	31.5625
TARA_CHLORO_00397	Ochrophytes	mag	70.04582979
TARA_CHLORO_00398	Ochrophytes	mag	50.41075865
TARA_CHLORO_00399	Ochrophytes	mag	34.40431281
TARA_CHLORO_00400	Chlorophytes	mag	23.55665948
TARA_CHLORO_00401	Ochrophytes	mag	836.0156412
TARA_CHLORO_00402	Ochrophytes	mag	22.74308024
TARA_CHLORO_00403	Ochrophytes	mag	68.63771639
TARA_CHLORO_00404	Ochrophytes	mag	27.66691813
TARA_CHLORO_00405	Ochrophytes	mag	54.33837364
TARA_CHLORO_00406	Ochrophytes	mag	101.7045695
TARA_CHLORO_00407	Ochrophytes	mag	96.69548292
TARA_CHLORO_00408	Ochrophytes	mag	119.1474063
TARA_CHLORO_00409	Haptophytes	mag	200.403703
TARA_CHLORO_00410	Ochrophytes	mag	144.2534908
TARA_CHLORO_00411	Ochrophytes	mag	352.9083617
TARA_CHLORO_00412	Ochrophytes	mag	482.8842287
TARA_CHLORO_00413	Ochrophytes	mag	9.306372692
TARA_CHLORO_00414	Ochrophytes	mag	148.8534698
TARA_CHLORO_00415	Ochrophytes	mag	755.1264495
TARA_CHLORO_00416	Ochrophytes	mag	26.62675336
TARA_CHLORO_00417	Ochrophytes	mag	21.830802
TARA_CHLORO_00418	Ochrophytes	mag	98.23741297
TARA_CHLORO_00419	Ochrophytes	mag	745.1786522
TARA_CHLORO_00420	Ochrophytes	mag	135.1459132
TARA_CHLORO_00421	Ochrophytes	mag	793.8355183
TARA_CHLORO_00422	Ochrophytes	mag	1674.486502
TARA_CHLORO_00423	Ochrophytes	mag	25.42968726
TARA_CHLORO_00424	Haptophytes	mag	484.574713
TARA_CHLORO_00425	Haptophytes	mag	691.644813
TARA_CHLORO_00426	Chlorophytes	mag	69.10184184
TARA_CHLORO_00427	Haptophytes	mag	118.3016514
TARA_CHLORO_00428	Ochrophytes	mag	26.41834102
TARA_CHLORO_00429	Ochrophytes	mag	12.4332795
TARA_CHLORO_00430	Chlorophytes	mag	26.80917801
TARA_CHLORO_00431	Chlorophytes	mag	163.1962509
TARA_CHLORO_00432	Chlorophytes	mag	53.14802881
TARA_CHLORO_00433	Chlorophytes	mag	29.84364038
TARA_CHLORO_00434	Chlorophytes	mag	502.1307532
TARA_CHLORO_00435	Ochrophytes	mag	69.23493445
TARA_CHLORO_00436	Ochrophytes	mag	741.2689395
TARA_CHLORO_00437	Ochrophytes	mag	114.7539178
TARA_CHLORO_00439	Ochrophytes	mag	311.8797061
TARA_CHLORO_00440	Ochrophytes	mag	289.0870203
TARA_CHLORO_00441	Ochrophytes	mag	48.36390344
TARA_CHLORO_00444	Ochrophytes	mag	56.72657206
